"date","plan","mrr"
2017-05-10,"respond",9325.585
2017-05-10,"other",1070.15
2017-05-10,"business",590679.7305
2017-05-10,"awesome",597951.37
2017-05-09,"other",981.4
2017-05-09,"respond",9325.585
2017-05-09,"awesome",597058.3
2017-05-09,"business",589379.2309
2017-05-08,"other",874.9
2017-05-08,"business",588670.8044
2017-05-08,"awesome",596136.38
2017-05-08,"respond",9325.585
2017-05-07,"other",827.82
2017-05-07,"business",589299.971
2017-05-07,"respond",9366.575
2017-05-07,"awesome",596336.3
2017-05-06,"business",588926.1376
2017-05-06,"awesome",596825.61
2017-05-06,"respond",9366.575
2017-05-06,"other",790.56
2017-05-05,"other",785.52
2017-05-05,"respond",9366.575
2017-05-05,"business",589027.8875
2017-05-05,"awesome",596052.1
2017-05-04,"other",595
2017-05-04,"awesome",595699.14
2017-05-04,"business",588084.5445
2017-05-04,"other",753.82
2017-05-04,"respond",9217.575
2017-05-03,"other",684.78
2017-05-03,"awesome",595547.16
2017-05-03,"respond",9265.575
2017-05-03,"business",587155.9714
2017-05-03,"other",595
2017-05-02,"other",595
2017-05-02,"respond",8857.575
2017-05-02,"awesome",595159.1
2017-05-02,"business",586716.3149
2017-05-02,"other",604.71
2017-05-01,"awesome",594632.98
2017-05-01,"business",584520.8149
2017-05-01,"other",595
2017-05-01,"other",554.16
2017-05-01,"respond",8857.575
2017-04-30,"other",595
2017-04-30,"business",585586.6483
2017-04-30,"respond",8857.575
2017-04-30,"other",309.17
2017-04-30,"awesome",595305.06
2017-04-29,"respond",8857.575
2017-04-29,"other",595
2017-04-29,"business",585352.4815
2017-04-29,"other",202.14
2017-04-29,"awesome",595299.03
2017-04-28,"awesome",595242.06
2017-04-28,"respond",8857.575
2017-04-28,"business",584843.0647
2017-04-28,"other",595
2017-04-28,"other",138.9
2017-04-27,"other",64.84
2017-04-27,"other",595
2017-04-27,"respond",8955.575
2017-04-27,"awesome",595043.32
2017-04-27,"business",584151.055
2017-04-26,"other",37.68
2017-04-26,"respond",8946.575
2017-04-26,"other",595
2017-04-26,"business",582987.2216
2017-04-26,"awesome",594459.61
2017-04-25,"other",595
2017-04-25,"other",24.73
2017-04-25,"business",581109.0552
2017-04-25,"awesome",593990.29
2017-04-25,"respond",8965.575
2017-04-24,"respond",8965.575
2017-04-24,"other",595
2017-04-24,"business",579891.3688
2017-04-24,"awesome",592918.93
2017-04-24,"other",24.73
2017-04-23,"other",24.73
2017-04-23,"awesome",593239.94
2017-04-23,"business",580414.0354
2017-04-23,"other",595
2017-04-23,"respond",8965.575
2017-04-22,"awesome",593396.29
2017-04-22,"respond",8974.575
2017-04-22,"business",581285.1187
2017-04-22,"other",595
2017-04-22,"other",24.73
2017-04-21,"respond",8974.575
2017-04-21,"awesome",592831.5
2017-04-21,"other",24.73
2017-04-21,"business",580560.0354
2017-04-21,"other",595
2017-04-20,"business",581102.4422
2017-04-20,"other",595
2017-04-20,"other",24.73
2017-04-20,"awesome",592152.59
2017-04-20,"respond",8974.575
2017-04-19,"business",580144.7658
2017-04-19,"other",9.2
2017-04-19,"respond",8974.575
2017-04-19,"other",595
2017-04-19,"awesome",591808.37
2017-04-18,"other",9.2
2017-04-18,"other",595
2017-04-18,"respond",9123.575
2017-04-18,"awesome",591247.46
2017-04-18,"business",579293.0159
2017-04-17,"awesome",590507.86
2017-04-17,"respond",9044.575
2017-04-17,"other",0
2017-04-17,"other",595
2017-04-17,"business",578880.266
2017-04-16,"business",580377.4226
2017-04-16,"other",595
2017-04-16,"respond",9073.575
2017-04-16,"awesome",590940.33
2017-04-15,"respond",9073.575
2017-04-15,"business",580493.256
2017-04-15,"awesome",591246.2
2017-04-15,"other",595
2017-04-14,"awesome",590854.22
2017-04-14,"business",581313.9226
2017-04-14,"respond",9023.575
2017-04-14,"other",595
2017-04-13,"awesome",590682.11
2017-04-13,"other",595
2017-04-13,"business",580416.3593
2017-04-13,"respond",9023.575
2017-04-12,"respond",9023.575
2017-04-12,"business",578547.6094
2017-04-12,"other",595
